case_id,elapsed_hours_so_far,wait_before_reviewed_hours,resource_at_reviewed,hour_of_day_submitted,has_been_reworked_yet,events_seen_so_far,unique_activities_so_far,transition_count_so_far,activity_repetition_count,total_wait_hours_so_far,average_wait_hours_so_far,max_wait_hours_so_far,min_wait_hours_so_far,number_of_long_waits_so_far,time_since_previous_activity,hour_of_day_at_snapshot,day_of_week_submitted,day_of_week_at_snapshot,is_weekend_submitted,resource_at_submitted,total_cycle_hours,late
CASE-0182,3.7603,3.7603,1,13,0,2,2,1,0,3.7603,3.7603,3.7603,3.7603,1,3.7603,16,2,2,0,3,35.02,0
CASE-0183,3.6297,3.6297,0,12,0,2,2,1,0,3.6297,3.6297,3.6297,3.6297,1,3.6297,15,0,0,0,2,31.3394,0
CASE-0184,4.2275,4.2275,5,12,0,2,2,1,0,4.2275,4.2275,4.2275,4.2275,1,4.2275,16,0,0,0,3,45.2753,1
CASE-0185,3.4467,3.4467,4,13,0,2,2,1,0,3.4467,3.4467,3.4467,3.4467,1,3.4467,16,0,0,0,5,44.3175,1
CASE-0186,3.2958,3.2958,0,9,0,2,2,1,0,3.2958,3.2958,3.2958,3.2958,1,3.2958,12,6,6,1,3,39.2311,0
CASE-0187,4.1175,4.1175,0,9,0,2,2,1,0,4.1175,4.1175,4.1175,4.1175,1,4.1175,13,0,0,0,1,44.4456,1
CASE-0188,4.6489,4.6489,1,8,0,2,2,1,0,4.6489,4.6489,4.6489,4.6489,1,4.6489,13,2,2,0,2,38.6433,0
CASE-0189,1.3433,1.3433,1,9,0,2,2,1,0,1.3433,1.3433,1.3433,1.3433,0,1.3433,11,1,1,0,3,42.3694,0
CASE-0190,2.8525,2.8525,5,14,0,2,2,1,0,2.8525,2.8525,2.8525,2.8525,0,2.8525,17,4,4,0,3,53.5914,1
CASE-0191,3.9772,3.9772,3,8,0,2,2,1,0,3.9772,3.9772,3.9772,3.9772,1,3.9772,12,3,3,0,3,37.2225,0
CASE-0192,4.0786,4.0786,5,11,0,2,2,1,0,4.0786,4.0786,4.0786,4.0786,1,4.0786,16,1,1,0,5,34.8592,0
CASE-0193,4.1381,4.1381,0,8,0,2,2,1,0,4.1381,4.1381,4.1381,4.1381,1,4.1381,12,5,5,1,4,32.0886,0
CASE-0194,5.0906,5.0906,5,8,0,2,2,1,0,5.0906,5.0906,5.0906,5.0906,1,5.0906,13,3,3,0,4,43.6325,1
CASE-0195,3.5267,3.5267,5,12,0,2,2,1,0,3.5267,3.5267,3.5267,3.5267,1,3.5267,15,6,6,1,0,55.5131,1
CASE-0196,2.2828,2.2828,4,14,0,2,2,1,0,2.2828,2.2828,2.2828,2.2828,0,2.2828,16,3,3,0,1,34.7728,0
CASE-0197,3.7494,3.7494,3,15,0,2,2,1,0,3.7494,3.7494,3.7494,3.7494,1,3.7494,19,4,4,0,0,37.0333,0
CASE-0198,4.4217,4.4217,4,9,0,2,2,1,0,4.4217,4.4217,4.4217,4.4217,1,4.4217,14,6,6,1,3,41.4372,0
CASE-0199,2.1525,2.1525,4,8,0,2,2,1,0,2.1525,2.1525,2.1525,2.1525,0,2.1525,11,5,5,1,0,40.2894,0
CASE-0200,4.8981,4.8981,5,8,0,2,2,1,0,4.8981,4.8981,4.8981,4.8981,1,4.8981,13,2,2,0,1,49.2889,1
CASE-0201,4.3019,4.3019,3,11,0,2,2,1,0,4.3019,4.3019,4.3019,4.3019,1,4.3019,15,5,5,1,2,37.4711,0
CASE-0202,3.3111,3.3111,2,9,0,2,2,1,0,3.3111,3.3111,3.3111,3.3111,1,3.3111,13,0,0,0,5,44.7369,1
CASE-0203,3.5131,3.5131,4,10,0,2,2,1,0,3.5131,3.5131,3.5131,3.5131,1,3.5131,13,2,2,0,2,39.9647,0
CASE-0204,3.9683,3.9683,2,11,0,2,2,1,0,3.9683,3.9683,3.9683,3.9683,1,3.9683,15,4,4,0,4,34.7475,0
CASE-0205,4.2631,4.2631,1,15,0,2,2,1,0,4.2631,4.2631,4.2631,4.2631,1,4.2631,19,1,1,0,5,43.8703,1
CASE-0206,4.3894,4.3894,5,8,0,2,2,1,0,4.3894,4.3894,4.3894,4.3894,1,4.3894,12,2,2,0,0,27.2431,0
CASE-0207,3.2061,3.2061,0,10,0,2,2,1,0,3.2061,3.2061,3.2061,3.2061,1,3.2061,13,2,2,0,1,40.9139,0
CASE-0208,2.6453,2.6453,4,8,0,2,2,1,0,2.6453,2.6453,2.6453,2.6453,0,2.6453,11,0,0,0,4,38.8744,0
CASE-0209,1.4781,1.4781,4,14,0,2,2,1,0,1.4781,1.4781,1.4781,1.4781,0,1.4781,16,0,0,0,1,28.095,0
CASE-0210,5.0703,5.0703,4,14,0,2,2,1,0,5.0703,5.0703,5.0703,5.0703,1,5.0703,19,1,1,0,2,32.9344,0
CASE-0211,2.8003,2.8003,3,8,0,2,2,1,0,2.8003,2.8003,2.8003,2.8003,0,2.8003,10,6,6,1,3,25.8581,0
CASE-0212,5.0622,5.0622,0,13,0,2,2,1,0,5.0622,5.0622,5.0622,5.0622,1,5.0622,18,6,6,1,0,34.9244,0
CASE-0213,4.8972,4.8972,5,9,0,2,2,1,0,4.8972,4.8972,4.8972,4.8972,1,4.8972,14,1,1,0,2,27.2011,0
CASE-0214,2.4969,2.4969,1,14,0,2,2,1,0,2.4969,2.4969,2.4969,2.4969,0,2.4969,17,4,4,0,0,38.2722,0
CASE-0215,4.1631,4.1631,5,10,0,2,2,1,0,4.1631,4.1631,4.1631,4.1631,1,4.1631,14,5,5,1,5,44.49,1
CASE-0216,3.1456,3.1456,4,12,0,2,2,1,0,3.1456,3.1456,3.1456,3.1456,1,3.1456,15,0,0,0,3,46.2539,1
CASE-0217,3.8856,3.8856,2,12,0,2,2,1,0,3.8856,3.8856,3.8856,3.8856,1,3.8856,16,2,2,0,1,39.9389,0
CASE-0218,1.5658,1.5658,3,12,0,2,2,1,0,1.5658,1.5658,1.5658,1.5658,0,1.5658,13,3,3,0,1,34.4186,0
CASE-0219,4.5875,4.5875,3,9,0,2,2,1,0,4.5875,4.5875,4.5875,4.5875,1,4.5875,14,3,3,0,4,29.5511,0
CASE-0220,1.8781,1.8781,1,11,0,2,2,1,0,1.8781,1.8781,1.8781,1.8781,0,1.8781,13,0,0,0,4,27.8108,0
CASE-0221,2.97,2.97,2,12,0,2,2,1,0,2.97,2.97,2.97,2.97,0,2.97,15,6,6,1,2,31.9375,0
CASE-0222,2.7186,2.7186,3,15,0,2,2,1,0,2.7186,2.7186,2.7186,2.7186,0,2.7186,17,6,6,1,1,34.0625,0
CASE-0223,4.9633,4.9633,2,14,0,2,2,1,0,4.9633,4.9633,4.9633,4.9633,1,4.9633,19,3,3,0,5,33.8467,0
CASE-0224,4.2728,4.2728,3,14,0,2,2,1,0,4.2728,4.2728,4.2728,4.2728,1,4.2728,18,2,2,0,2,46.4814,1
CASE-0225,2.0825,2.0825,1,9,0,2,2,1,0,2.0825,2.0825,2.0825,2.0825,0,2.0825,12,4,4,0,4,41.0453,0
CASE-0226,4.3583,4.3583,3,15,0,2,2,1,0,4.3583,4.3583,4.3583,4.3583,1,4.3583,20,6,6,1,2,40.2292,0
CASE-0227,1.6125,1.6125,3,14,0,2,2,1,0,1.6125,1.6125,1.6125,1.6125,0,1.6125,16,4,4,0,3,38.6847,0
CASE-0228,4.2231,4.2231,4,16,0,2,2,1,0,4.2231,4.2231,4.2231,4.2231,1,4.2231,20,6,6,1,2,38.1369,0
CASE-0229,3.7506,3.7506,5,13,0,2,2,1,0,3.7506,3.7506,3.7506,3.7506,1,3.7506,16,0,0,0,5,42.5794,0
CASE-0230,3.3092,3.3092,4,9,0,2,2,1,0,3.3092,3.3092,3.3092,3.3092,1,3.3092,12,0,0,0,1,48.8464,1
CASE-0231,4.7153,4.7153,0,9,0,2,2,1,0,4.7153,4.7153,4.7153,4.7153,1,4.7153,14,1,1,0,3,44.285,1
CASE-0232,2.4431,2.4431,3,11,0,2,2,1,0,2.4431,2.4431,2.4431,2.4431,0,2.4431,13,4,4,0,3,38.4017,0
CASE-0233,3.9417,3.9417,1,8,0,2,2,1,0,3.9417,3.9417,3.9417,3.9417,1,3.9417,12,3,3,0,2,41.3558,0
CASE-0234,2.7283,2.7283,5,10,0,2,2,1,0,2.7283,2.7283,2.7283,2.7283,0,2.7283,13,5,5,1,5,38.6794,0
CASE-0235,4.4258,4.4258,0,11,0,2,2,1,0,4.4258,4.4258,4.4258,4.4258,1,4.4258,15,1,1,0,2,38.3039,0
CASE-0236,4.7169,4.7169,5,9,0,2,2,1,0,4.7169,4.7169,4.7169,4.7169,1,4.7169,13,0,0,0,5,39.1039,0
CASE-0237,3.7106,3.7106,1,12,0,2,2,1,0,3.7106,3.7106,3.7106,3.7106,1,3.7106,16,4,4,0,4,31.7419,0
CASE-0238,3.6856,3.6856,3,16,0,2,2,1,0,3.6856,3.6856,3.6856,3.6856,1,3.6856,20,4,4,0,3,36.0292,0
CASE-0239,3.025,3.025,1,10,0,2,2,1,0,3.025,3.025,3.025,3.025,1,3.025,13,1,1,0,1,30.9478,0
CASE-0240,5.1219,5.1219,5,10,0,2,2,1,0,5.1219,5.1219,5.1219,5.1219,1,5.1219,15,1,1,0,3,38.4672,0
CASE-0241,1.5233,1.5233,1,10,0,2,2,1,0,1.5233,1.5233,1.5233,1.5233,0,1.5233,11,1,1,0,4,30.7322,0
CASE-0242,1.5028,1.5028,2,15,0,2,2,1,0,1.5028,1.5028,1.5028,1.5028,0,1.5028,17,4,4,0,4,41.0064,0
CASE-0243,5.0089,5.0089,5,15,0,2,2,1,0,5.0089,5.0089,5.0089,5.0089,1,5.0089,20,3,3,0,1,44.2178,1
CASE-0244,2.8061,2.8061,1,13,0,2,2,1,0,2.8061,2.8061,2.8061,2.8061,0,2.8061,16,1,1,0,0,31.5936,0
CASE-0245,1.6567,1.6567,1,14,0,2,2,1,0,1.6567,1.6567,1.6567,1.6567,0,1.6567,15,5,5,1,4,41.5114,0
CASE-0246,2.2906,2.2906,4,13,0,2,2,1,0,2.2906,2.2906,2.2906,2.2906,0,2.2906,16,5,5,1,2,44.2928,1
CASE-0247,1.9575,1.9575,1,8,0,2,2,1,0,1.9575,1.9575,1.9575,1.9575,0,1.9575,10,1,1,0,5,32.0317,0
CASE-0248,3.8628,3.8628,3,15,0,2,2,1,0,3.8628,3.8628,3.8628,3.8628,1,3.8628,19,5,5,1,4,35.9781,0
CASE-0249,4.2453,4.2453,2,16,0,2,2,1,0,4.2453,4.2453,4.2453,4.2453,1,4.2453,21,5,5,1,2,37.3669,0
CASE-0250,4.2389,4.2389,0,15,0,2,2,1,0,4.2389,4.2389,4.2389,4.2389,1,4.2389,19,2,2,0,5,45.6583,1
CASE-0251,2.6508,2.6508,1,12,0,2,2,1,0,2.6508,2.6508,2.6508,2.6508,0,2.6508,14,1,1,0,2,39.2003,0
CASE-0252,1.5483,1.5483,1,9,0,2,2,1,0,1.5483,1.5483,1.5483,1.5483,0,1.5483,11,1,1,0,3,32.55,0
CASE-0253,1.5567,1.5567,2,12,0,2,2,1,0,1.5567,1.5567,1.5567,1.5567,0,1.5567,13,0,0,0,2,25.4169,0
CASE-0254,1.4147,1.4147,0,11,0,2,2,1,0,1.4147,1.4147,1.4147,1.4147,0,1.4147,12,2,2,0,5,29.3578,0
CASE-0255,2.4242,2.4242,3,8,0,2,2,1,0,2.4242,2.4242,2.4242,2.4242,0,2.4242,10,0,0,0,5,38.5039,0
CASE-0256,2.62,2.62,1,9,0,2,2,1,0,2.62,2.62,2.62,2.62,0,2.62,11,4,4,0,2,34.6242,0
CASE-0257,3.5244,3.5244,3,16,0,2,2,1,0,3.5244,3.5244,3.5244,3.5244,1,3.5244,20,2,2,0,0,35.1247,0
CASE-0258,1.3967,1.3967,1,15,0,2,2,1,0,1.3967,1.3967,1.3967,1.3967,0,1.3967,17,5,5,1,1,39.7817,0
CASE-0259,3.695,3.695,4,10,0,2,2,1,0,3.695,3.695,3.695,3.695,1,3.695,13,3,3,0,2,35.7119,0
CASE-0260,2.9003,2.9003,0,16,0,2,2,1,0,2.9003,2.9003,2.9003,2.9003,0,2.9003,19,5,5,1,5,42.0225,0
CASE-0261,5.4308,5.4308,2,9,0,2,2,1,0,5.4308,5.4308,5.4308,5.4308,1,5.4308,14,1,1,0,0,31.4872,0
CASE-0262,1.1,1.1,0,15,0,2,2,1,0,1.1,1.1,1.1,1.1,0,1.1,16,5,5,1,0,31.355,0
CASE-0263,2.8942,2.8942,0,16,0,2,2,1,0,2.8942,2.8942,2.8942,2.8942,0,2.8942,19,2,2,0,3,37.6322,0
CASE-0264,4.9639,4.9639,4,16,0,2,2,1,0,4.9639,4.9639,4.9639,4.9639,1,4.9639,21,2,2,0,1,36.185,0
CASE-0265,3.2497,3.2497,1,9,0,2,2,1,0,3.2497,3.2497,3.2497,3.2497,1,3.2497,12,6,6,1,5,26.2219,0
CASE-0266,3.7153,3.7153,0,12,0,2,2,1,0,3.7153,3.7153,3.7153,3.7153,1,3.7153,16,1,1,0,5,25.3308,0
CASE-0267,2.2203,2.2203,1,16,0,2,2,1,0,2.2203,2.2203,2.2203,2.2203,0,2.2203,19,2,2,0,5,41.6475,0
CASE-0268,1.6219,1.6219,4,14,0,2,2,1,0,1.6219,1.6219,1.6219,1.6219,0,1.6219,15,3,3,0,4,37.4825,0
CASE-0269,2.0703,2.0703,4,10,0,2,2,1,0,2.0703,2.0703,2.0703,2.0703,0,2.0703,12,6,6,1,1,39.5658,0
CASE-0270,3.0869,3.0869,1,8,0,2,2,1,0,3.0869,3.0869,3.0869,3.0869,1,3.0869,11,6,6,1,0,30.8608,0
CASE-0271,2.4761,2.4761,5,14,0,2,2,1,0,2.4761,2.4761,2.4761,2.4761,0,2.4761,16,2,2,0,2,32.6444,0
CASE-0272,4.2339,4.2339,3,8,0,2,2,1,0,4.2339,4.2339,4.2339,4.2339,1,4.2339,12,0,0,0,1,30.0897,0
CASE-0273,2.6256,2.6256,4,16,0,2,2,1,0,2.6256,2.6256,2.6256,2.6256,0,2.6256,19,2,2,0,0,40.8528,0
CASE-0274,4.1583,4.1583,1,11,0,2,2,1,0,4.1583,4.1583,4.1583,4.1583,1,4.1583,15,1,1,0,4,26.6181,0
CASE-0275,4.2356,4.2356,5,8,0,2,2,1,0,4.2356,4.2356,4.2356,4.2356,1,4.2356,12,5,5,1,0,45.1675,1
CASE-0276,3.1189,3.1189,2,11,0,2,2,1,0,3.1189,3.1189,3.1189,3.1189,1,3.1189,15,1,1,0,4,36.2611,0
CASE-0277,3.4878,3.4878,5,14,0,2,2,1,0,3.4878,3.4878,3.4878,3.4878,1,3.4878,17,6,6,1,4,45.0994,1
CASE-0278,2.1211,2.1211,1,13,0,2,2,1,0,2.1211,2.1211,2.1211,2.1211,0,2.1211,15,1,1,0,3,26.7292,0
CASE-0279,1.6661,1.6661,1,15,0,2,2,1,0,1.6661,1.6661,1.6661,1.6661,0,1.6661,16,0,0,0,3,35.3811,0
CASE-0280,3.8042,3.8042,1,12,0,2,2,1,0,3.8042,3.8042,3.8042,3.8042,1,3.8042,16,4,4,0,5,40.3661,0
CASE-0281,3.5069,3.5069,1,14,0,2,2,1,0,3.5069,3.5069,3.5069,3.5069,1,3.5069,18,0,0,0,3,26.9539,0
CASE-0282,2.8222,2.8222,5,11,0,2,2,1,0,2.8222,2.8222,2.8222,2.8222,0,2.8222,14,4,4,0,3,29.5061,0
CASE-0283,2.8403,2.8403,0,11,0,2,2,1,0,2.8403,2.8403,2.8403,2.8403,0,2.8403,14,2,2,0,5,34.4961,0
CASE-0284,2.8897,2.8897,1,8,0,2,2,1,0,2.8897,2.8897,2.8897,2.8897,0,2.8897,11,1,1,0,5,44.04,1
CASE-0285,3.4622,3.4622,4,11,0,2,2,1,0,3.4622,3.4622,3.4622,3.4622,1,3.4622,15,5,5,1,2,35.8247,0
CASE-0286,5.2594,5.2594,0,16,0,2,2,1,0,5.2594,5.2594,5.2594,5.2594,1,5.2594,21,6,6,1,5,48.1842,1
CASE-0287,2.0817,2.0817,2,16,0,2,2,1,0,2.0817,2.0817,2.0817,2.0817,0,2.0817,18,4,4,0,3,35.5083,0
CASE-0288,2.1081,2.1081,2,11,0,2,2,1,0,2.1081,2.1081,2.1081,2.1081,0,2.1081,13,4,4,0,0,42.1661,0
CASE-0289,4.5914,4.5914,2,11,0,2,2,1,0,4.5914,4.5914,4.5914,4.5914,1,4.5914,16,5,5,1,2,47.1733,1
CASE-0290,4.7633,4.7633,3,10,0,2,2,1,0,4.7633,4.7633,4.7633,4.7633,1,4.7633,15,4,4,0,1,36.8578,0
CASE-0291,3.0786,3.0786,4,11,0,2,2,1,0,3.0786,3.0786,3.0786,3.0786,1,3.0786,14,5,5,1,4,31.5256,0
CASE-0292,3.8853,3.8853,0,8,0,2,2,1,0,3.8853,3.8853,3.8853,3.8853,1,3.8853,12,1,1,0,4,46.2906,1
CASE-0293,2.5128,2.5128,1,14,0,2,2,1,0,2.5128,2.5128,2.5128,2.5128,0,2.5128,17,2,2,0,0,47.0806,1
CASE-0294,5.2414,5.2414,4,13,0,2,2,1,0,5.2414,5.2414,5.2414,5.2414,1,5.2414,18,6,6,1,5,44.5372,1
CASE-0295,4.4153,4.4153,5,12,0,2,2,1,0,4.4153,4.4153,4.4153,4.4153,1,4.4153,16,2,2,0,1,45.0353,1
CASE-0296,1.6664,1.6664,1,11,0,2,2,1,0,1.6664,1.6664,1.6664,1.6664,0,1.6664,13,1,1,0,4,44.4386,1
CASE-0297,2.1775,2.1775,5,13,0,2,2,1,0,2.1775,2.1775,2.1775,2.1775,0,2.1775,15,2,2,0,0,27.565,0
CASE-0298,3.1722,3.1722,2,14,0,2,2,1,0,3.1722,3.1722,3.1722,3.1722,1,3.1722,17,0,0,0,3,38.5975,0
CASE-0299,1.7447,1.7447,0,11,0,2,2,1,0,1.7447,1.7447,1.7447,1.7447,0,1.7447,12,3,3,0,3,32.6494,0
CASE-0300,1.8,1.8,0,14,0,2,2,1,0,1.8,1.8,1.8,1.8,0,1.8,15,5,5,1,5,32.9103,0
